
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  26    1.630508e-01   7.781869e-01   1.943335e-04   1.945309e-05   28        16        5         
  27    1.630357e-01   7.762287e-01   1.945309e-05   4.863273e-05   29        17        0         
  28    1.629980e-01   7.745114e-01   4.863273e-05   1.215818e-04   30        18        0         
  29    1.629980e-01   7.745114e-01   1.215818e-04   1.217766e-05   31        18        5         
  30    1.629886e-01   7.744068e-01   1.217766e-05   3.044415e-05   32        19        0         
  31    1.629650e-01   7.714767e-01   3.044415e-05   7.611038e-05   33        20        0         
  32    1.629650e-01   7.714767e-01   7.611038e-05   7.635212e-06   34        20        5         
  33    1.629591e-01   7.703347e-01   7.635212e-06   1.908803e-05   35        21        0         
  34    1.629591e-01   7.703347e-01   1.908803e-05   1.911023e-06   36        21        5         
  35    1.629577e-01   7.703189e-01   1.911023e-06   4.777557e-06   37        22        0         
  36    1.629540e-01   7.702793e-01   4.777557e-06   1.194389e-05   38        23        0         
  37    1.629540e-01   7.702793e-01   1.194389e-05   1.194458e-06   39        23        5         
  38    1.629540e-01   7.702793e-01   1.194458e-06   1.194465e-07   40        23        5         
  39    1.629539e-01   7.702783e-01   1.194465e-07   2.986163e-07   41        24        0         
  40    1.629537e-01   7.702758e-01   2.986163e-07   7.465407e-07   42        25        0         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     7.451814e-01   1.707878e+01                  1.707878e+01   
  1     7.451814e-01   1.707878e+01   1.707878e+01   3.105233e+00   3         1         5         
  2     7.451814e-01   1.707878e+01   3.105233e+00   3.381937e-01   4         1         5         
  3     7.451814e-01   1.707878e+01   3.381937e-01   3.412344e-02   5         1         5         
  4     3.566126e-01   7.460381e+00   3.412344e-02   3.412344e-02   6         2         0         
  5     2.496930e-01   3.559219e+00   2.984285e-02   8.530860e-02   7         3         0         
  6     2.244790e-01   2.019111e+00   1.232351e-02   2.132715e-01   8         4         0         
  7     2.085547e-01   1.572881e+00   1.280857e-02   5.331787e-01   9         5         0         
  8     2.085547e-01   1.572881e+00   2.252743e-02   5.631858e-03   10        5         5         
  9     2.013281e-01   1.241103e+00   5.631858e-03   1.407965e-02   11        6         0         
  10    1.888737e-01   1.481137e+00   1.407965e-02   3.519911e-02   12        7         0         
  11    1.888737e-01   1.481137e+00   3.519911e-02   5.772000e-03   13        7         5         
  12    1.888737e-01   1.481137e+00   5.772000e-03   9.317874e-04   14        7         5         
  13    1.876034e-01   1.282775e+00   9.317874e-04   2.329469e-03   15        8         0         
  14    1.850544e-01   1.045388e+00   2.329469e-03   5.823671e-03   16        9         0         
  15    1.850544e-01   1.045388e+00   5.823671e-03   7.291008e-04   17        9         5         
  16    1.843063e-01   1.015363e+00   7.291008e-04   1.822752e-03   18        10        0         
  17    1.843063e-01   1.015363e+00   1.822752e-03   1.862030e-04   19        10        5         
  18    1.841176e-01   1.012314e+00   1.862030e-04   4.655075e-04   20        11        0         
  19    1.841176e-01   1.012314e+00   4.655075e-04   4.669030e-05   21        11        5         
  20    1.840704e-01   1.009556e+00   4.669030e-05   1.167258e-04   22        12        0         
  21    1.839527e-01   1.007839e+00   1.167258e-04   2.918144e-04   23        13        0         
  22    1.839527e-01   1.007839e+00   2.918144e-04   2.922275e-05   24        13        5         
  23    1.839232e-01   1.007476e+00   2.922275e-05   7.305687e-05   25        14        0         
  24    1.838497e-01   1.006056e+00   7.305687e-05   1.826422e-04   26        15        0         
  25    1.838497e-01   1.006056e+00   1.826422e-04   1.831759e-05   27        15        5         
  26    1.838313e-01   1.005695e+00   1.831759e-05   4.579397e-05   28        16        0         
  27    1.837853e-01   1.005258e+00   4.579397e-05   1.144849e-04   29        17        0         
  28    1.837853e-01   1.005258e+00   1.144849e-04   1.150341e-05   30        17        5         
  29    1.837737e-01   1.005123e+00   1.150341e-05   2.875852e-05   31        18        0         
  30    1.837448e-01   1.004447e+00   2.875852e-05   7.189629e-05   32        19        0         
  31    1.837448e-01   1.004447e+00   7.189629e-05   7.202732e-06   33        19        5         
  32    1.837376e-01   1.004352e+00   7.202732e-06   1.800683e-05   34        20        0         
  33    1.837195e-01   1.004170e+00   1.800683e-05   4.501708e-05   35        21        0         
  34    1.837195e-01   1.004170e+00   4.501708e-05   4.508442e-06   36        21        5         
  35    1.837150e-01   1.004121e+00   4.508442e-06   1.127110e-05   37        22        0         
  36    1.837037e-01   1.004077e+00   1.127110e-05   2.817776e-05   38        23        0         
  37    1.837037e-01   1.004077e+00   2.817776e-05   2.823620e-06   39        23        5         
  38    1.837009e-01   1.004044e+00   2.823620e-06   7.059051e-06   40        24        0         
  39    1.836938e-01   1.003889e+00   7.059051e-06   1.764763e-05   41        25        0         
  40    1.836938e-01   1.003889e+00   1.764763e-05   1.767110e-06   42        25        5         
